Refrence,part,amount,Price(£),link
u2,NE555p(timer),1,0.99,https://www.aliexpress.com/item/1005009339787324.html?spm=a2g0o.productlist.main.8.63d022c4eo0vdZ&aem_p4p_detail=202605260556321109297265010560002792209&algo_pvid=2148a7bc-dcda-40ff-b234-7c2985adb1c9&algo_exp_id=2148a7bc-dcda-40ff-b234-7c2985adb1c9-7&pdp_ext_f=%7B%22order%22%3A%2276%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.68%210.99%21%21%212.20%211.30%21%402103892f17798001920853666eafc9%2112000048803481783%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207325743&curPageLogUid=8c7hu84e4vEP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009339787324%7C_p_origin_prod%3A&search_p4p_id=202605260556321109297265010560002792209_2
u3,TC4420CPA(mossfet driver),1,4,https://www.aliexpress.com/item/1005012098576784.html?spm=a2g0o.productlist.main.6.39cdgtZRgtZRrV&aem_p4p_detail=202605260557114198031673620790002888236&algo_pvid=687ef79e-ee0d-484d-a952-48245112546e&algo_exp_id=687ef79e-ee0d-484d-a952-48245112546e-7&pdp_ext_f=%7B%22order%22%3A%221%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%212.89%212.89%21%21%2125.67%2125.67%21%40211b61d017798002317987818e4efe%2112000057513482675%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=bTsjEHy7RS4a&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012098576784%7C_p_origin_prod%3A&search_p4p_id=202605260557114198031673620790002888236_2
q1,IRFZ44N,1,1.91,https://www.aliexpress.com/item/1005008166831325.html?spm=a2g0o.productlist.main.4.ee8f1b5dXfj6Ej&aem_p4p_detail=202605260558347434254199130440002651888&algo_pvid=e1c1864a-bfa5-46fa-be21-c64370c858f7&algo_exp_id=e1c1864a-bfa5-46fa-be21-c64370c858f7-3&pdp_ext_f=%7B%22order%22%3A%22672%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.85%211.84%21%21%212.42%212.41%21%40211b6c1717798003143084168ef051%2112000044065439129%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895%3BpisId%3A5000000206380079&curPageLogUid=RhivqrCw4G5N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008166831325%7C_p_origin_prod%3A&search_p4p_id=202605260558347434254199130440002651888_1
d1,1N5819,1,1.88,https://www.aliexpress.com/item/1005007807556976.html?spm=a2g0o.productlist.main.4.3e5763704ovaNI&aem_p4p_detail=202605260558591837016037540940002673473&algo_pvid=055f7468-30eb-4548-b430-9231e811d0f5&algo_exp_id=055f7468-30eb-4548-b430-9231e811d0f5-3&pdp_ext_f=%7B%22order%22%3A%221526%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%211.88%211.75%21%21%212.46%212.29%21%40211b6c1917798003390311186ea962%2112000042270255395%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=4kmR76PxKqoo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007807556976%7C_p_origin_prod%3A&search_p4p_id=202605260558591837016037540940002673473_1
INDCTORS,,,,
l1,"100uH ,1a rated radial",1,0.51,https://www.aliexpress.com/item/1005006119088521.html?spm=a2g0o.productlist.main.9.1ceb5771fFHBLR&algo_pvid=e86fca1c-181d-402b-95e2-3a4049ba021f&algo_exp_id=e86fca1c-181d-402b-95e2-3a4049ba021f-8&pdp_ext_f=%7B%22order%22%3A%22295%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%210.53%210.53%21%21%214.68%214.68%21%40211b430817798003815182491e6747%2112000035838735882%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=Kxf2YZgyrdYX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006119088521%7C_p_origin_prod%3A
RESISTORS,,,,
r1,"022 ohms , 2w,axial",1,0.66,https://www.aliexpress.com/item/1005007170526978.html?spm=a2g0o.productlist.main.4.509bE1uCE1uCky&aem_p4p_detail=2026052606003315241939000204000002706198&algo_pvid=f2ef5e76-6572-42bc-a659-aa6a92fcb045&algo_exp_id=f2ef5e76-6572-42bc-a659-aa6a92fcb045-3&pdp_ext_f=%7B%22order%22%3A%22543%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%210.73%210.66%21%21%216.50%215.85%21%40211b655217798004336817068eb696%2112000039693958381%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=4bHxNJmETjqF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007170526978%7C_p_origin_prod%3A&search_p4p_id=2026052606003315241939000204000002706198_1
r2,"10k ohms , 1/4 w",1,0.53,https://www.aliexpress.com/item/1005002489867848.html?spm=a2g0o.productlist.main.4.7360G1KkG1Kksk&aem_p4p_detail=202605260601341602730059974910002589140&algo_pvid=4ca08e19-0b52-4bff-8d4f-607bf635eb29&algo_exp_id=4ca08e19-0b52-4bff-8d4f-607bf635eb29-3&pdp_ext_f=%7B%22order%22%3A%223794%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%210.54%210.53%21%21%210.71%210.70%21%4021038e6617798004945667865ef41a%2112000020846080146%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=B6VLNB2h4Q7c&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002489867848%7C_p_origin_prod%3A&search_p4p_id=202605260601341602730059974910002589140_1
r3,2.2k ohms1/4 w,1,0.5,https://www.aliexpress.com/item/1005007330288041.html?spm=a2g0o.productlist.main.3.4061MfvKMfvKng&aem_p4p_detail=20260526060220186496062832540002654344&algo_pvid=de9d3e18-4ced-4cb5-b638-7cbb35aae1df&algo_exp_id=de9d3e18-4ced-4cb5-b638-7cbb35aae1df-3&pdp_ext_f=%7B%22order%22%3A%22644%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%210.50%210.45%21%21%214.46%214.01%21%402103856417798005401588016e54e2%2112000040294719787%21sea%21UK%217502065942%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af3d885b8%3Bm03_new_user%3A-29895&curPageLogUid=sRkSXITY1tWj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007330288041%7C_p_origin_prod%3A&search_p4p_id=20260526060220186496062832540002654344_1
